Name,URL,Author,Price,Number of ratings,Average Rating
Catalyst,https://www.amazon.com/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1,Chandramouli,,32,4.4 out of 5 stars
This Is Not Your Story,https://www.amazon.com/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1,Savi Sharma,,1881,4.5 out of 5 stars
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition),https://www.amazon.com/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1,IIBF,,189,4.4 out of 5 stars
Dharmayoddha Kalki: Avatar of Vishnu (Book 1),https://www.amazon.com/Dharmayoddha-Kalki-Avatar-Vishnu-Book/dp/8193503309?_encoding=UTF8&psc=1,Kevin Missal,,136,4.4 out of 5 stars
RRB Group D Guide Hindi 2018,https://www.amazon.com/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1,Arihant Experts,,14,4.1 out of 5 stars
Man's Search for Meaning,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1,Viktor E Frankl,,461,4.2 out of 5 stars
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017),https://www.amazon.com/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1,Disha Experts,,144,4.1 out of 5 stars
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover,https://www.amazon.com/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1,Amish Tripathi,,4383,4.1 out of 5 stars
Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session),https://www.amazon.com/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1,R.D. Sharma,,11,4.3 out of 5 stars
Picture Books Collection for Early Learning,https://www.amazon.com/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1,E C Axus,,101,4.0 out of 5 stars
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",https://www.amazon.com/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1,Sudha Murty,,157,4.4 out of 5 stars
High School English Grammar and Composition Book (Regular Edition),https://www.amazon.com/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1,D,,662,4.3 out of 5 stars
"The Power of Habit: Why We Do What We Do, and How to Change",https://www.amazon.com/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1,Charles Duhigg,,401,4.4 out of 5 stars
The Oath of the Vayuputras (Shiva Trilogy),https://www.amazon.com/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1,Amish Tripathi,,1413,4.4 out of 5 stars
Harry Potter and the Philosopher's Stone,https://www.amazon.com/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1,J.K. Rowling,,771,4.7 out of 5 stars
Science Textbook for Class 10- 1064,https://www.amazon.com/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1,NCERT,,50,3.2 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear,https://www.amazon.com/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1,Lakhmir Singh,,14,3.7 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics,https://www.amazon.com/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1,DC Pandey,,78,4.2 out of 5 stars
The Theory of Everything,https://www.amazon.com/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1,Stephen Hawking,,371,4.5 out of 5 stars
12 Years' Solved Papers CBSE AIPMT & NEET,https://www.amazon.com/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1,Arihant Experts,,26,4.0 out of 5 stars
